month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain,trends_score
2024-03-01,lethal_company,5490.0,1153.0,26.6,69914.0,269.0,-58.0,-17.7,825.0,3930000.0,73240.0,-33418.0,-31.3,26754.0,-47.9,18.0
2024-04-01,lethal_company,2131.0,-3359.0,-61.0,36842.0,167.0,-102.0,-37.9,530.0,1590000.0,53155.0,-20085.0,-27.4,23945.0,-10.5,21.0
2024-05-01,lethal_company,1684.0,-447.0,-21.0,40429.0,144.0,-23.0,-13.8,435.0,1210000.0,29986.0,-23169.0,-43.6,13737.0,-42.6,11.0
2024-06-01,lethal_company,2243.0,559.0,33.2,51234.0,150.0,6.0,4.2,412.0,1670000.0,22182.0,-7804.0,-26.0,12035.0,-12.4,12.0
2024-07-01,lethal_company,2880.0,637.0,28.4,54003.0,177.0,27.0,18.0,722.0,2110000.0,29213.0,7031.0,31.7,14274.0,18.6,12.0
2024-08-01,lethal_company,2462.0,-418.0,-14.5,48760.0,181.0,4.0,2.3,552.0,1760000.0,44040.0,14827.0,50.8,16508.0,15.7,14.0
2024-09-01,lethal_company,2395.0,-67.0,-2.7,47529.0,170.0,-11.0,-6.1,566.0,1750000.0,35021.0,-9019.0,-20.5,15875.0,-3.8,12.0
2024-10-01,lethal_company,1830.0,-565.0,-23.6,24968.0,149.0,-21.0,-12.4,701.0,1320000.0,27158.0,-7863.0,-22.5,13537.0,-14.7,11.0
2024-11-01,lethal_company,2331.0,501.0,27.4,35104.0,130.0,-19.0,-12.8,359.0,1730000.0,28179.0,1021.0,3.8,14361.0,6.1,11.0
2024-12-01,lethal_company,2933.0,602.0,25.8,43629.0,178.0,48.0,36.9,537.0,2170000.0,25729.0,-2450.0,-8.7,13110.0,-8.7,11.0
